Month,Year,Product,Volume,FOB_value_000,"Avg_FOB
"
Sept,2015.00,Copra,74.00,105.74,1429.00
Oct,2015.00,Copra,73.00,113.58,1556.00
Nov,2015.00,Copra,42.00,59.97,1428.00
Dec,2015.00,Copra,42.00,57.63,1372.00
Jan,2016.00,Copra,30.00,37.94,1265.00
Feb,2016.00,Copra,79.00,99.10,1254.00
Mar,2016.00,Copra,126.00,171.66,1362.00
Apr,2016.00,Copra,63.00,87.00,1381.00
May,2016.00,Copra,21.00,30.18,1437.00
Jun,2016.00,Copra,21.00,28.72,1368.00
Jul,2016.00,Copra,42.00,56.46,1344.00
Aug,2016.00,Copra,52.00,70.99,1365.00
Sept,2016.00,Copra,116.00,148.87,1283.00
Oct,2016.00,Copra,168.00,252.45,1503.00
Nov,2016.00,Copra,263.00,401.99,1528.00
Dec,2016.00,Copra,203.00,326.94,1611.00
Jan,2017.00,Copra,43.00,67.87,1578.00
Feb,2017.00,Copra,22.00,37.82,1719.00
Mar,2017.00,Copra,42.00,73.66,1754.00
Apr,2017.00,Copra,8.00,13.26,1657.00
May,2017.00,Copra,19.00,33.98,1788.00
Jun,2017.00,Copra,29.00,53.08,1830.00
Jul,2017.00,Copra,30.00,62.25,2075.00
Aug,2017.00,Copra,53.00,106.11,2002.00
Sept,2017.00,Copra,115.00,241.81,2103.00
Oct,2017.00,Copra,58.00,186.48,3215.00
Nov,2017.00,Copra,65.00,198.44,3053.00
Dec,2017.00,Copra,17.00,46.93,2761.00
Jan,2018.00,Copra,22.00,56.83,2583.00
Feb,2018.00,Copra,0.60,26.34,-
Mar,2018.00,Copra,32.00,93.11,2910.00
Apr,2018.00,Copra,47.00,137.35,2922.00
May,2018.00,Copra,53.00,179.31,3383.00
Jun,2018.00,Copra,10.00,21.03,2103.00
Jul,2018.00,Copra,11.00,33.15,3014.00
Aug,2018.00,Copra,65.00,132.12,2033.00
Sept,2018.00,Copra,72.00,182.25,2531.00
Oct,2018.00,Copra,111.00,212.68,1916.00
Nov,2018.00,Copra,97.00,161.85,1669.00
Dec,2018.00,Copra,108.00,220.94,2046.00
Jan,2019.00,Copra,289.00,425.98,1474.00
Feb,2019.00,Copra,292.00,377.84,1294.00
Mar,2019.00,Copra,371.00,517.43,1395.00
Apr,2019.00,Copra,180.00,244.26,1357.00
May,2019.00,Copra,344.00,438.49,1275.00
